#Crewmate

"achievement.restorer.challenge.unused.goal" : "Don't use Restore for an entire game."


"achievement.restorer.challenge.jesterWin.title" : "Heavenly Delight!"
"achievement.restorer.challenge.jesterWin.cond" : "Hint: Think about the consequences before voting."
"achievement.restorer.challenge.jesterWin.goal" : "Vote out a Jester that was restored by a Restorer."
"achievement.restorer.challenge.jesterWin.splitted.0" : "Heavenly"
"achievement.restorer.challenge.jesterWin.splitted.1" : "Failed"
"achievement.restorer.challenge.jesterWin.splitted.2" : "Joyful"










"role.objector.name" : "Objector"
"role.objector.blurb" : "I'm not satisfied with the outcome of this meeting."
"role.objector.doc" : "<b>This role has bugs.</b><br>You can use the <b>Objection</b> skill during meetings.<br>If you use Objection, all votes in this round will be converted to abstentions."
"options.role.objector.detail" : "The Objector can use a skill to nullify all votes this meeting.<br><b>This is one of Half Sugar's gifts to you!</b>"
"role.objector.ability.title" : "<b>Ability: Objection Ruling</b>"
"role.objector.ability.main" : "You can use Objection to change everyone's vote to abstain this meeting.<br>If you change your mind, you can cancel the objection before the voting results appear."
"role.objector.doc.objection" : "<b>Objection</b><br>Raise an objection during the meeting phase. Max uses: <b><color=#00ffff>%USES%</color>.</b>"
"role.objector.doc.cancel" : "<b>Cancel Objection</b><br>You can cancel your objection."
"role.objector.tips" : "<b>·Not recommended to enable this role in non-anonymous voting.</b>"
"options.role.objector.uses" : "Max Objection Uses"
"objector.ui.uses" : "Remaining objections: %LEFTUSES%"



"role.owl.name" : "Owl"
"role.owl.short" : "Owl"
"role.owl.blurb" : "Those who walk at night serve me!"
"role.owl.doc" : "You can use Hypnotize to hypnotize a player.<br>The hypnotized player gains one kill opportunity and counts as Impostor faction.<br>The hypnotized returns to normal after killing one person. If they do not kill within <b><color=#00ffff>%DUR% seconds</color></b>, <b>the hypnotized commits suicide.</b>"
"options.role.owl.detail" : "The Owl can hypnotize others.<br><b>This is one of Half Sugar's gifts to you!</b>"
"role.owl.ability.title" : "<b>Ability: Hypnosis</b>"
"role.owl.ability.main" : ""
"role.owl.tips" : "<b>·If you use Soul Eater, you will teleport to the hypnotized and kill them directly, rather than letting them commit suicide silently.</b>"
"options.role.owl.cooldown" : "Hypnotize Cooldown"
"options.role.owl.maxUses" : "Max Hypnotize Uses"
"options.role.owl.duration" : "Hypnotized Suicide Timeout"
"options.role.owl.privateChat" : "Private Chat"
"options.role.owl.soulEatCooldown" : "Soul Eater Cooldown"
"button.label.owl.hypnotize" : "Hypnotize"
"button.label.owl.soulEat" : "Soul Eater"
"button.label.owl.soulEatMeeting" : "Soul Eater"
"role.owl.doc.hypnotize" : "<b>Hypnotize</b><br>Hypnotize a person. Max uses: <b><color=#00ffff>%MAXUSES%</color></b>."
"role.owl.doc.soulEat" : "<b>Soul Eater</b><br>Instantly kill the hypnotized player."
"owl.chatName" : "Owl"



#Neutral

"role.Havenger.blurb" : "An eye for an eye, a life for a life."
"role.Havenger.doc" : "<b>This role has bugs</b><br>If killed during the action phase, your body disappears and you gain Vengeance state next round.<br>During this time, meetings are disabled and everyone is prohibited from using vents.<br>If you kill the wrong person, both you and the target die. If time runs out, you die. If you kill correctly, you win."
"role.Havenger.name" : "Avenger"
"role.Havenger.tips" : "·You only have one vengeful kill."
"options.role.Havenger.detail" : "After dying, the Avenger must take revenge on the killer.<br><b>This is one of Half Sugar's gifts to you!</b>"
"role.Havenger.short" : "Av"
"options.role.Havenger.revengeDuration" : "Revenge Duration"
"teams.Havenger" : "Avenger"
"button.label.Havenger.kill" : "Revenge"

"achievement.avenger.common.revenge.title" : "Blood for Blood"
"achievement.avenger.common.revenge.goal" : "Kill the murderer"
"achievement.avenger.common.revenge.cond" : ""

"achievement.avenger.common.wrongKill.title" : "Killing the Innocent"
"achievement.avenger.common.wrongKill.goal" : "Kill a non-murderer during the revenge phase"
"achievement.avenger.common.wrongKill.cond" : ""

"achievement.avenger.common.timeout.title" : "Soul Dissipates"
"achievement.avenger.common.timeout.goal" : "Revenge time ends without killing anyone"
"achievement.avenger.common.timeout.cond" : ""





"role.imagination.name" : "Imagination"
"role.imagination.short" : "Imag"
"role.imagination.blurb" : "Rich imagination."
"role.imagination.doc" : "Survive to the end and steal victory from others.<br>Each round you can imagine a role and gain its abilities."
"teams.imagination" : "Imagination"
"options.role.imagination.candidateCount" : "Roles to Imagine per Round"
"options.role.imagination.roleFilter" : "Imaginable Roles"
"options.role.imagination.detail" : "Imagination can imagine a role each round and gain its traits.<br>Survive to the end to steal the victory.<br><b>This is one of Half Sugar's gifts to you!</b>"
"role.imagination.ability.title" : "<b>Ability: Extraordinary Imagination</b>"
"role.imagination.ability.main" : "At the end of each meeting or at game start, you can choose a role and gain its abilities.<br>After this round ends, you must choose again."
"role.imagination.doc.skill" : "<b>Imagine</b><br>Automatically used each round; choose a role and gain its abilities."
"role.imagination.tips" : "<b>·Some roles do not grant their skills when chosen.</b><br><b>·You can steal victory.</b>"

"role.imagination.prefix" : "Imagined %ROLE%"
"role.imagination.select" : "Choose a role to imagine (Close this window manually after selecting)"

"role.spirit.name" : "Spirit"
"role.spirit.short" : "Sp"
"role.spirit.blurb" : "Spirits rise and shatter, entrusted with a grand task. Spirits connect, and spirits shatter spirits, without end."
"role.spirit.doc" : "You can use Spirit Strike to make the target commit suicide.<br>You can use <b>Spirit Return</b> to turn another player into a Spirit, while you become a Broken Spirit."
"options.role.spirit.detail" : "Turn others into Spirits to win together.<br><b>This is one of Half Sugar's gifts to you!</b>"
"role.spirit.ability.title" : "<b>Ability: Spirit Flame</b>"
"role.spirit.ability.main" : "Possesses a special killing ability that directly forces the target to commit suicide, with uses based on host settings.<br>When kills are used up, the Spirit Return skill unlocks.<br>Use on someone to make them a Spirit, and you become a Broken Spirit.<br>Whether Broken Spirits can kill and the number of kills depends on host settings.<br>If the Spirit dies, all Broken Spirits die with them.<br>A }{ mark appears after the names of Spirits and Broken Spirits, visible only to the Spirit faction."
"role.spirit.doc.sb" : "<b>Spirit Return</b><br>Turn another into a Spirit, turning yourself into a Broken Spirit."
"options.role.spirit.KillCoolDown" : "Kill Cooldown"
"options.role.spirit.KillMaxUses" : "Max Kill Uses"
"options.role.spirit.SoulBack" : "Can use Spirit Return"
"button.label.spirit.kill" : "Spirit Strike"
"button.label.spirit.sb" : "Spirit Return"

"role.brokenspirit.name" : "Broken Spirit"
"role.brokenspirit.short" : "BrkSp"
"role.brokenspirit.blurb" : "A battered and broken 'spirit'."
"role.brokenspirit.doc" : "Broken Spirit is a role created when Spirit uses Spirit Return. It has a normal kill ability with uses based on host settings.<br>When the Spirit dies, all Broken Spirits die.<br>A }{ mark appears after the names of Spirit and Broken Spirits, visible only to this faction."
"options.role.brokenspirit.detail" : "Broken Spirit is the role created when Spirit uses Spirit Return.<br><b>This is one of Half Sugar's gifts to you!</b>"



#Addon

"role.firstStrike.name" : "First Strike"
"role.firstStrike.short" : "%"
"role.firstStrike.generalBlurb" : ""
"options.role.firstStrike.detail" : "At the end of each meeting or at game start,<br>your kill cooldown is immediately reset to <color=#FF0000>0 seconds</color>,<br>allowing you to attack immediately.<br><b>This is one of Half Sugar's gifts to you!</b>"
"role.firstStrike.doc" : "At the end of each meeting or at game start, your kill cooldown resets to <color=#FF0000>0 seconds</color>."


"role.imagimodi.name" : "Imagination"
"role.imagimodi.generalBlurb" : "Rich imagination."
"role.imagimodi.doc" : "Please see the <b>Imagination</b> main role."


"role.HNoiseMaker.name" : "Loudmouth"
"role.HNoiseMaker.generalBlurb" : "Make a noise when you die."
"role.HNoiseMaker.doc" : "When the Loudmouth dies, an alert and arrow appear at the death location accompanied by a 'woof' sound.<br><b>This is the addon version of Loudmouth.</b>"
"options.role.HNoiseMaker.noiseDuration" : "Alert Duration"
"options.role.HNoiseMaker.detail" : "When the Loudmouth is killed, an alarm sounds.<br>Lucky are those who play with a Bait.<br><b>This is one of Half Sugar's gifts to you!</b>"



"role.keymaster.name" : "Keymaster"
"role.keymaster.generalBlurb" : "Open Sesame"
"role.keymaster.doc" : "You can directly open all doors except <b>SKELD</b> and <b>MIRAHQ</b>."
"options.role.keymaster.detail" : "You can open doors directly."
"options.modifier.keymaster.cooldown" : "Open Door Cooldown"
"button.label.keymaster.open" : "Open Door"


"role.hypnotized.name" : "Hypnotized"
"role.hypnotized.generalBlurb" : "Product of hypnosis"
"role.hypnotized.doc" : "You have been hypnotized by the Owl and gained one kill chance.<br>If you don't use it within the time limit, you will commit suicide."

#Death Reasons

"state.imaginationDepression" : "Depression"
"state.partyAccident" : "Party Accident"
"state.brokewish" : "Broken Wish" 
"state.sanling" : "Scattered Spirits"
"state.soulback" : "Soul Return"

#Factions
"teams.Havenger" : "Avenger"
"HavengerWin" : "Avenger Victory"
"teams.spirit" : "Spirit"
"spiritWin" : "Spirit Victory"
